title,artist,spectrogram_file,target_file,comprehensive_mood,timestamp
TWENTY NIGHTS pitch down,Nobu Woods,TWENTY_NIGHTS_Nobu_Woods_pitch_down_matrix.npy,TWENTY_NIGHTS_Nobu_Woods_pitch_down_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:45:55.722813
take time slow down,Isaiah kaleo,take_time_Isaiah_kaleo_slow_down_matrix.npy,take_time_Isaiah_kaleo_slow_down_target.npy,"danceable, mood_party",2025-03-24T20:39:35.526101
WAIT FOR U (feat. Drake  pitch up,"Future, Drake, Tems","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_pitch_up_matrix.npy","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_pitch_up_target.npy","mood_relaxed, mood_sad",2025-03-24T20:38:39.752786
R.I.P. speed up,Playboi Carti,R.I.P._Playboi_Carti_speed_up_matrix.npy,R.I.P._Playboi_Carti_speed_up_target.npy,"mood_aggressive, mood_party",2025-03-24T20:37:26.810854
Eyeless pitch down,Slipknot,Eyeless_Slipknot_pitch_down_matrix.npy,Eyeless_Slipknot_pitch_down_target.npy,mood_aggressive,2025-03-24T20:41:14.145651
PlaqueBoyMax slow down,Fivio Foreign,PlaqueBoyMax_Fivio_Foreign_slow_down_matrix.npy,PlaqueBoyMax_Fivio_Foreign_slow_down_target.npy,"danceable, mood_party",2025-03-24T20:36:44.218213
"Happy - From ""Despicable Me 2"" speed up",Pharrell Williams,Happy_-_From_Despicable_Me_2_Pharrell_Williams_speed_up_matrix.npy,Happy_-_From_Despicable_Me_2_Pharrell_Williams_speed_up_target.npy,"danceable, mood_happy",2025-03-24T20:35:13.383470
"Happy - From ""Despicable Me 2"" normalized",Pharrell Williams,Happy_-_From_Despicable_Me_2_Pharrell_Williams_normalize_matrix.npy,Happy_-_From_Despicable_Me_2_Pharrell_Williams_normalize_target.npy,"danceable, mood_happy",2025-03-24T20:35:10.592303
take time speed up,Isaiah kaleo,take_time_Isaiah_kaleo_speed_up_matrix.npy,take_time_Isaiah_kaleo_speed_up_target.npy,"danceable, mood_party",2025-03-24T20:39:34.753676
"Happy - From ""Despicable Me 2"" slow down",Pharrell Williams,Happy_-_From_Despicable_Me_2_Pharrell_Williams_slow_down_matrix.npy,Happy_-_From_Despicable_Me_2_Pharrell_Williams_slow_down_target.npy,"danceable, mood_happy",2025-03-24T20:35:13.953997
WAIT FOR U (feat. Drake  normalized,"Future, Drake, Tems","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_normalize_matrix.npy","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_normalize_target.npy","mood_relaxed, mood_sad",2025-03-24T20:38:37.641977
take time pitch up,Isaiah kaleo,take_time_Isaiah_kaleo_pitch_up_matrix.npy,take_time_Isaiah_kaleo_pitch_up_target.npy,"danceable, mood_party",2025-03-24T20:39:32.924677
PlaqueBoyMax pitch down,Fivio Foreign,PlaqueBoyMax_Fivio_Foreign_pitch_down_matrix.npy,PlaqueBoyMax_Fivio_Foreign_pitch_down_target.npy,"danceable, mood_party",2025-03-24T20:36:42.424403
Hello pitch down,Adele,Hello_Adele_pitch_down_matrix.npy,Hello_Adele_pitch_down_target.npy,mood_sad,2025-03-24T20:35:42.207836
Pardon Me (Lil Yachty feat. Future  pitch up,"Lil Yachty, Future, Mike WiLL Made-It","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_pitch_up_matrix.npy","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_pitch_up_target.npy","mood_aggressive, mood_party",2025-03-24T20:42:35.434190
R.I.P. pitch up,Playboi Carti,R.I.P._Playboi_Carti_pitch_up_matrix.npy,R.I.P._Playboi_Carti_pitch_up_target.npy,"mood_aggressive, mood_party",2025-03-24T20:37:24.866095
Hello normalized,Adele,Hello_Adele_normalize_matrix.npy,Hello_Adele_normalize_target.npy,"mood_acoustic, mood_sad",2025-03-24T20:35:39.500654
Hello slow down,Adele,Hello_Adele_slow_down_matrix.npy,Hello_Adele_slow_down_target.npy,mood_sad,2025-03-24T20:35:43.870318
Eyeless speed up,Slipknot,Eyeless_Slipknot_speed_up_matrix.npy,Eyeless_Slipknot_speed_up_target.npy,mood_aggressive,2025-03-24T20:41:15.000641
ss pitch up,Ken Carson,ss_Ken_Carson_pitch_up_matrix.npy,ss_Ken_Carson_pitch_up_target.npy,"mood_aggressive, mood_party",2025-03-24T20:36:01.912416
Outfit (with 21 Savage) pitch down,"Lil Baby, 21 Savage","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_pitch_down_matrix.npy","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_pitch_down_target.npy",mood_aggressive,2025-03-24T20:42:54.408093
TWENTY NIGHTS slow down,Nobu Woods,TWENTY_NIGHTS_Nobu_Woods_slow_down_matrix.npy,TWENTY_NIGHTS_Nobu_Woods_slow_down_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:45:57.502562
PlaqueBoyMax pitch up,Fivio Foreign,PlaqueBoyMax_Fivio_Foreign_pitch_up_matrix.npy,PlaqueBoyMax_Fivio_Foreign_pitch_up_target.npy,"danceable, mood_party",2025-03-24T20:36:41.350110
trademark usa slow down,Baby Keem,trademark_usa_Baby_Keem_slow_down_matrix.npy,trademark_usa_Baby_Keem_slow_down_target.npy,"mood_aggressive, mood_party",2025-03-24T20:44:52.759429
Outfit (with 21 Savage) slow down,"Lil Baby, 21 Savage","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_slow_down_matrix.npy","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_slow_down_target.npy",mood_aggressive,2025-03-24T20:42:56.079969
Eyeless slow down,Slipknot,Eyeless_Slipknot_slow_down_matrix.npy,Eyeless_Slipknot_slow_down_target.npy,mood_aggressive,2025-03-24T20:41:15.777064
R.I.P. slow down,Playboi Carti,R.I.P._Playboi_Carti_slow_down_matrix.npy,R.I.P._Playboi_Carti_slow_down_target.npy,"mood_aggressive, mood_party",2025-03-24T20:37:27.758225
PlaqueBoyMax speed up,Fivio Foreign,PlaqueBoyMax_Fivio_Foreign_speed_up_matrix.npy,PlaqueBoyMax_Fivio_Foreign_speed_up_target.npy,"danceable, mood_party",2025-03-24T20:36:43.361018
trademark usa normalized,Baby Keem,trademark_usa_Baby_Keem_normalize_matrix.npy,trademark_usa_Baby_Keem_normalize_target.npy,"mood_aggressive, mood_party",2025-03-24T20:44:47.892250
trademark usa speed up,Baby Keem,trademark_usa_Baby_Keem_speed_up_matrix.npy,trademark_usa_Baby_Keem_speed_up_target.npy,mood_party,2025-03-24T20:44:51.939610
take time normalized,Isaiah kaleo,take_time_Isaiah_kaleo_normalize_matrix.npy,take_time_Isaiah_kaleo_normalize_target.npy,"danceable, mood_party",2025-03-24T20:39:31.208086
